Date,Open,High,Low,Close,Adj Close,Volume,Return,CumReturn
2005-09-23,2.0985000133514404,2.13100004196167,2.077500104904175,2.109499931335449,2.109499931335449,62908000,,
2005-09-26,2.122499942779541,2.1710000038146973,2.119999885559082,2.1670000553131104,2.1670000553131104,112328000,0.02725770364982183,1.0272577036498218
2005-09-27,2.1630001068115234,2.186500072479248,2.1410000324249268,2.157999992370605,2.157999992370605,83470000,-0.00415323613879881,1.022991259831164
2005-09-28,2.1624999046325684,2.187000036239624,2.149499893188477,2.1684999465942383,2.1684999465942383,64794000,0.004865595116197774,1.0279687211089115
2005-09-29,2.1689999103546143,2.240000009536743,2.156500101089477,2.239500045776367,2.239500045776367,127856000,0.03274157294476243,1.061626033976033
2005-09-30,2.2325000762939453,2.2920000553131104,2.2300000190734863,2.265000104904175,2.265000104904175,121120000,0.011386496363730902,1.0737142349515432
2005-10-03,2.2664999961853027,2.3294999599456787,2.257999897003174,2.30049991607666,2.30049991607666,116584000,0.015673205089757447,1.0905427783637307
2005-10-04,2.299999952316284,2.305999994277954,2.2249999046325684,2.246500015258789,2.246500015258789,130430000,-0.02347311575214661,1.0649443414945312
2005-10-05,2.245500087738037,2.26449990272522,2.194499969482422,2.2244999408721924,2.2244999408721924,129054000,-0.009793044396691153,1.0545152942782703
2005-10-06,2.2279999256134038,2.240499973297119,2.1665000915527344,2.200500011444092,2.200500011444092,123858000,-0.010788909897066823,1.0431382237832232
2005-10-07,2.213500022888184,2.2304999828338623,2.1689999103546143,2.186000108718872,2.186000108718872,67850000,-0.006589367257355372,1.03626460292653
2005-10-10,2.190999984741211,2.219000101089477,2.178999900817871,2.187999963760376,2.187999963760376,73606000,0.0009148467255457593,1.0372126262053165
2005-10-11,2.196000099182129,2.2160000801086426,2.1614999771118164,2.1700000762939453,2.1700000762939453,106036000,-0.008226639746143016,1.0286798515893745
2005-10-12,2.1454999446868896,2.184000015258789,2.121999979019165,2.127500057220459,2.127500057220459,114084000,-0.019585261557257816,1.0085328876373154
2005-10-13,2.121500015258789,2.1489999294281006,2.095000028610229,2.13100004196167,2.13100004196167,76656000,0.0016451161678385784,1.0101920413965644
2005-10-14,2.150000095367432,2.19350004196167,2.117000102996826,2.189500093460083,2.189500093460083,91552000,0.02745192414194486,1.0379237566857793
2005-10-17,2.18149995803833,2.250999927520752,2.180999994277954,2.250999927520752,2.250999927520752,104500000,0.02808852771660786,1.0670775068931735
2005-10-18,2.246000051498413,2.252500057220459,2.2149999141693115,2.2325000762939453,2.2325000762939453,89154000,-0.008218503697235757,1.058307726457535
2005-10-19,2.226999998092652,2.2929999828338623,2.21399998664856,2.2929999828338623,2.2929999828338623,130570000,0.02709962126422405,1.0869874650255362
